16:48:29.144321 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1729868:1730088, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144505 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1730088:1730308, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144665 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1730308:1730528, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144781 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1730528:1730748, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144890 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1730748:1730968, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144996 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1730968:1731188, ack 1045, win 309, options [nop,nop,TS val 2519125212 ecr 440440712], length 220
16:48:29.145102 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1731188:1731408, ack 1045, win 309, options [nop,nop,TS val 2519125212 ecr 440440712], length 220
16:48:29.145206 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1731408:1731628, ack 1045, win 309, options [nop,nop,TS val 2519125212 ecr 440440712], length 220
16:48:29.145257 IP 198.96.85.21.50318 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1045:1081, ack 1704588, win 2254, options [nop,nop,TS val 440440727 ecr 2519125186], length 36
^C
8267 packets captured
13639 packets received by filter
